alpha,delta,K,errorUB
0.90,4,1,4.4587137627e-01
0.90,4,2,4.4587137354e-01
0.90,4,3,3.2393230727e-01
0.90,4,4,2.6320788775e-01
0.90,4,5,1.9181391487e-01
0.90,4,6,1.5621112619e-01
0.90,4,7,1.2267646553e-01
0.90,4,8,9.7491560749e-02
0.90,4,9,7.6165857399e-02
0.90,4,10,6.0961497522e-02
0.90,4,11,4.8581709109e-02
0.90,4,12,3.8628523321e-02
0.90,4,13,3.0736328712e-02
0.90,4,14,2.4602263872e-02
0.90,4,15,1.9668594602e-02
0.90,4,16,1.5715656453e-02
0.90,4,17,1.2576840901e-02
0.90,4,18,1.0081159237e-02
0.90,4,19,8.0780306040e-03
0.90,4,20,6.4744092368e-03
0.90,4,21,5.1939818067e-03
0.90,4,22,4.1687170203e-03
0.90,4,23,3.3459157036e-03
0.90,4,24,2.6864878159e-03
0.90,4,25,2.1579739690e-03
